created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2022-01-09T12:33:27+07:00,134,89.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:33:56+07:00,135,90.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:34:26+07:00,136,90.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:34:56+07:00,137,91.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:35:26+07:00,138,92.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:35:56+07:00,139,94.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:36:26+07:00,140,96.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:36:56+07:00,141,100.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:37:26+07:00,142,109.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:37:56+07:00,143,108.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:38:26+07:00,144,110.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:38:59+07:00,145,110.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:39:29+07:00,146,115.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:39:56+07:00,147,118.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:40:38+07:00,148,116.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:40:56+07:00,149,117.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:41:26+07:00,150,108.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:41:56+07:00,151,110.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:42:26+07:00,152,126.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:42:56+07:00,153,110.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:43:26+07:00,154,102.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:43:59+07:00,155,100.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:44:26+07:00,156,101.00000,77.00000,27.20000,0.00000,,,,
2022-01-09T12:44:58+07:00,157,109.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:45:26+07:00,158,102.00000,77.00000,27.20000,0.00000,,,,
2022-01-09T12:45:56+07:00,159,96.00000,77.00000,27.20000,0.00000,,,,
2022-01-09T12:46:27+07:00,160,90.00000,77.00000,27.20000,0.00000,,,,
2022-01-09T12:46:57+07:00,161,88.00000,77.00000,27.20000,0.00000,,,,
